loan_status,loan_amnt,int_rate,installment,annual_inc,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,loss
1,10000,6.39,305.99,70000.0,16638.0,23.2,43.0,5.0,10521.1,-521.1000000000004
1,10500,13.33,355.46,30000.0,12112.0,44.0,11.0,6.0,10504.87,-4.8700000000008
0,3500,9.17,111.58,36000.0,8962.0,71.7,34.0,3.0,715.91,2784.09
1,15000,6.24,457.97,84000.0,15236.0,39.8,43.0,9.0,15622.74,-622.7399999999998
0,18000,8.18,565.56,83500.0,426.0,1.2,29.0,4.0,6819.44,11180.560000000001
1,15000,6.92,462.61,50000.0,8458.0,34.1,22.0,7.0,15661.94,-661.9400000000005
1,12800,7.89,400.46,128000.0,11989.0,54.2,43.0,9.0,13635.76,-835.7600000000002
1,15000,14.65,517.42,82000.0,11487.0,40.0,43.0,9.0,15717.26,-717.2600000000002
1,16000,13.33,541.65,85000.0,25247.0,85.0,17.0,3.0,18133.17,-2133.1699999999983
1,12000,6.68,368.78,47000.0,19273.0,47.8,32.0,3.0,12615.36,-615.3600000000006
0,8500,11.53,280.42,27000.0,9581.0,58.4,15.0,4.0,1116.24,7383.76
1,6000,12.29,200.12,45000.0,6987.0,85.0,8.0,5.0,6081.47,-81.47000000000025
1,7500,6.03,228.27,55000.0,15249.0,23.1,32.0,5.0,7862.35,-362.35000000000036
0,4200,8.19,131.99,12936.0,4076.0,28.7,5.0,0.0,4499.98,-299.97999999999956
1,20000,6.92,616.82,110500.0,26535.0,32.4,38.0,9.0,20510.37,-510.369999999999
1,35000,16.99,833.0390000000002,128000.0,37066.0,84.0,36.0,5.0,26131.192000000003,8868.807999999997
1,7000,10.49,227.49,42804.0,16330.0,39.2,30.0,9.0,7288.52,-288.52000000000044
1,10000,11.44,329.48,47700.0,8750.0,70.0,26.0,6.0,11364.46,-1364.4599999999991
1,19000,6.68,583.89,112000.0,26025.0,78.4,28.0,1.0,20092.79001,-1092.7900100000006
1,9625,17.57,345.9,22000.0,18015.0,79.0,10.0,1.0,11255.18,-1630.1800000000003
1,20000,8.18,628.39,90000.0,13468.0,51.6,26.0,3.0,20464.87,-464.869999999999
0,9600,6.24,293.1,55859.0,14892.0,27.2,34.0,4.0,2642.89,6957.110000000001
1,11200,8.67,354.44,52000.0,21032.0,69.2,25.0,5.0,11735.44,-535.4400000000005
1,16000,13.99,546.77,128000.0,14652.0,71.5,28.0,7.0,18789.88,-2789.880000000001
1,28000,6.68,833.0390000000002,128000.0,35967.0,61.7,38.0,5.0,26131.192000000003,1868.8079999999973
1,3500,15.41,122.04,36000.0,3492.0,18.0,27.0,8.0,3846.82,-346.82000000000016
